Produto,Tipo,index,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,1,Codil,Codisul,Total,Media,Quantidade,TOTAL,TOTAL
,,1,28.98,27.99,,56.97,28.485,3,85.455
FEIJÃO (1kg),marca,3,Codil,Agrominas,Total,Media,Quantidade,TOTAL,
,,3,5.59,,,5.59,5.59,4,22.36
AÇÚCAR (5kg),marca,5,Delta,Bruçúcar,Total,Media,Quantidade,TOTAL,
,,5,19.98,,,19.98,19.98,2,39.96
CAFÉ / em pó (500g),marca,7,3 Corações,Letícia,Total,Media,Quantidade,TOTAL,
,,7,16.98,15.98,,32.96,16.48,3,49.44
FARINHA DE TRIGO (1kg),marca,9,Globo,Dona Benta,Total,Media,Quantidade,TOTAL,
,,9,6.89,6.89,6.89,20.67,6.89,3,20.67
FARINHA DE MAND. (1kg),marca,11,Pachá ,Milu,Total,Media,Quantidade,TOTAL,
,,11,7.64,7.89,,15.53,7.765,1,7.765
BATATA (1kg),marca,13,Batata Inglesa,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,13,4.98,,,4.98,4.98,4,19.92
CEBOLA (1kg),marca,15,Cebola,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,15,4.98,,,4.98,4.98,1,4.98
TOMATE (1kg),marca,17,Tomate,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,17,5.98,,,5.98,5.98,9,53.82
ALHO (1kg),marca,19,Alho,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,19,22.98,,,22.98,22.98,0.2,4.596
OVOS (1 Dz.),marca,21,Branco,Vermelho,Total,Media,Quantidade,TOTAL,
,,21,8.18,,,8.18,8.18,3,24.54
MARGARINA (250g),marca,23,Qualy,Doriana,Total,Media,Quantidade,TOTAL,
,,23,4.98,,4.18,9.16,4.58,4,18.32
EXTRATO DE TOMATE (300g),marca,25,Fugini,Elefante ,Total,Media,Quantidade,TOTAL,
,,25,,6.99,4.58,11.57,5.785,2,11.57
PÃO FRANCÊS (1kg),marca,27,Pão,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,27,14.99,,,14.99,14.99,6,89.94
FRUTA / BANANA (1kg),marca,29,Prata,Caturra,Total,Media,Quantidade,TOTAL,
,,29,5.98,,,5.98,5.98,7.5,44.85
ÓLEO DE SOJA (900ml),marca,31,ABC,Soya,Total,Media,Quantidade,TOTAL,
,,31,5.98,,,5.98,5.98,5,29.9
LEITE (1L),marca,33,Itambé,Cemil,Total,Media,Quantidade,TOTAL,
,,33,,4.79,4.49,9.28,4.64,7.5,34.8
LEITE EM PÓ (400g),marca,35,Itambé,Nutril,Total,Media,Quantidade,TOTAL,
,,35,16.98,15.29,,32.27,16.135,3,48.405
MACARRÃO (pac. 500g),marca,37,Santa Amália,Yara,Total,Media,Quantidade,TOTAL,
,,37,5.59,4.48,5.49,15.56,5.186666667,4,20.74666667
BISCOITO MAISENA (pac. 200g),marca,39,Bauducco ,Marilan,Total,Media,Quantidade,TOTAL,
,,39,,,3.39,3.39,3.39,4,13.56
CARNE DE PRIMEIRA (1kg),marca,41,Contra-filé,Alcatra,Total,Media,Quantidade,TOTAL,
,,41,39.98,39.98,,79.96,39.98,3,119.94
CARNE DE SEGUNDA (1kg),marca,43,Acém,Costela,Total,Media,Quantidade,TOTAL,
,,43,33.98,19.98,,53.96,26.98,4,107.92
FRANGO RESFRIADO INT. (1kg),marca,45,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,45,9.98,,,9.98,9.98,5,49.9
SALSICHA AVULSA (1kg),marca,47,Friall,Sadia,Total,Media,Quantidade,TOTAL,
,,47,10.39,13.89,,24.28,12.14,0.5,6.07
LINGUIÇA TOSCANA FRESCA (1kg),marca,49,Pifpaf,Sadia,Total,Media,Quantidade,TOTAL,
,,49,,,17.98,17.98,17.98,0.3,5.394
QUEIJO MUSSARELA FAT. (1kg),marca,51,Saboroso,Vida,Total,Media,Quantidade,TOTAL,
,,51,,41.68,,41.68,41.68,0.5,20.84
,,53,,,Total,Media,Quantidade,TOTAL,955.6616667
,,53,,,,,,,
SABÃO EM PÓ (400g),marca,55,Tixan Ypê,Brilhante,Total,Media,Quantidade,TOTAL,
,,55,6.89,6.89,,13.78,6.89,4,27.56
SABÃO EM BARRA (unid.),marca,57,Minuano ,Ypê ,Total,Media,Quantidade,TOTAL,
,,57,3.79,,,3.79,3.79,15,56.85
ÁGUA SANITÁRIA (1L),marca,59,Ypê,Tuff,Total,Media,Quantidade,TOTAL,
,,59,4.78,3.09,4.49,12.36,4.12,2,8.24
DETERGENTE (500 ml),marca,61,Ypê,Azulim,Total,Media,Quantidade,TOTAL,
,,61,2.89,,2.59,5.48,2.74,2,5.48
,,63,,,Total,Media,Quantidade,TOTAL,98.13
,,63,,,,,,,
